match_id,season,date,reserve_date,match_number,event_stage,team_1,team_2,toss_decision,toss_winner,venue,city,match_result,winner,by_wickets,by_runs,method,player_of_match
335982,2008,18-04-2008,,1,,Kolkata Knight Riders,Royal Challengers Bangalore,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,Winner,Kolkata Knight Riders,,140,,BB McCullum
335983,2008,19-04-2008,,2,,Chennai Super Kings,Kings XI Punjab,bat,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Winner,Chennai Super Kings,,33,,MEK Hussey
335984,2008,19-04-2008,,3,,Rajasthan Royals,Delhi Daredevils,bat,Rajasthan Royals,Feroz Shah Kotla,Delhi,Winner,Delhi Daredevils,9,,,MF Maharoof
335985,2008,20-04-2008,,5,,Mumbai Indians,Royal Challengers Bangalore,bat,Mumbai Indians,Wankhede Stadium,Mumbai,Winner,Royal Challengers Bangalore,5,,,MV Boucher
335986,2008,20-04-2008,,4,,Deccan Chargers,Kolkata Knight Riders,bat,Deccan Chargers,Eden Gardens,Kolkata,Winner,Kolkata Knight Riders,5,,,DJ Hussey
335987,2008,21-04-2008,,6,,Kings XI Punjab,Rajasthan Royals,bat,Kings XI Punjab,Sawai Mansingh Stadium,Jaipur,Winner,Rajasthan Royals,6,,,SR Watson
335988,2008,22-04-2008,,7,,Deccan Chargers,Delhi Daredevils,bat,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Winner,Delhi Daredevils,9,,,V Sehwag
335989,2008,23-04-2008,,8,,Chennai Super Kings,Mumbai Indians,field,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",,,,,,,
335990,2008,24-04-2008,,9,,Deccan Chargers,Rajasthan Royals,field,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Winner,Rajasthan Royals,3,,,YK Pathan
335991,2008,25-04-2008,,10,,Kings XI Punjab,Mumbai Indians,field,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Winner,Kings XI Punjab,,66,,KC Sangakkara
335992,2008,26-04-2008,,12,,Rajasthan Royals,Royal Challengers Bangalore,field,Rajasthan Royals,M Chinnaswamy Stadium,Bangalore,Winner,Rajasthan Royals,7,,,SR Watson
335993,2008,26-04-2008,,11,,Chennai Super Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",,,,,,,
335994,2008,27-04-2008,,14,,Deccan Chargers,Mumbai Indians,field,Deccan Chargers,Dr DY Patil Sports Academy,Mumbai,Winner,Deccan Chargers,10,,,AC Gilchrist
335995,2008,27-04-2008,,13,,Delhi Daredevils,Kings XI Punjab,bat,Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Winner,Kings XI Punjab,4,,,SM Katich
335996,2008,28-04-2008,,15,,Chennai Super Kings,Royal Challengers Bangalore,bat,Chennai Super Kings,M Chinnaswamy Stadium,Bangalore,Winner,Chennai Super Kings,,13,,MS Dhoni
335997,2008,29-04-2008,,16,,Kolkata Knight Riders,Mumbai Indians,bat,Kolkata Knight Riders,Eden Gardens,Kolkata,Winner,Mumbai Indians,7,,,ST Jayasuriya
335998,2008,30-04-2008,,17,,Delhi Daredevils,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Feroz Shah Kotla,Delhi,Winner,Delhi Daredevils,,10,,GD McGrath
335999,2008,01-05-2008,,19,,Deccan Chargers,Kings XI Punjab,field,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Winner,Kings XI Punjab,7,,,SE Marsh
336000,2008,01-05-2008,,18,,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,Winner,Rajasthan Royals,,45,,SA Asnodkar
336001,2008,02-05-2008,,20,,Chennai Super Kings,Delhi Daredevils,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",,,,,,,
336002,2008,25-05-2008,,51,,Deccan Chargers,Royal Challengers Bangalore,bat,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Winner,Royal Challengers Bangalore,5,,,R Vinay Kumar
336003,2008,03-05-2008,,22,,Kings XI Punjab,Kolkata Knight Riders,bat,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Winner,Kings XI Punjab,,9,,IK Pathan
336004,2008,04-05-2008,,23,,Delhi Daredevils,Mumbai Indians,field,Delhi Daredevils,Dr DY Patil Sports Academy,Mumbai,Winner,Mumbai Indians,,29,,SM Pollock
